Name,Team,Number,Position,Age,Height,Weight,College,Salary
Blake Griffin,Los Angeles Clippers,32.0,PF,27.0,2.083,113.83219954648526,Oklahoma,18907726.0
Wesley Johnson,Los Angeles Clippers,33.0,SF,28.0,2.007,97.50566893424036,Syracuse,1100602.0
DeAndre Jordan,Los Angeles Clippers,6.0,C,27.0,2.108,120.18140589569161,Texas A&M,19689000.0
Luc Richard Mbah a Moute,Los Angeles Clippers,12.0,PF,29.0,2.032,104.30839002267574,UCLA,947276.0
Chris Paul,Los Angeles Clippers,3.0,PG,31.0,1.829,79.36507936507937,Wake Forest,21468695.0
Paul Pierce,Los Angeles Clippers,34.0,SF,38.0,2.007,106.57596371882086,Kansas,3376000.0
JJ Redick,Los Angeles Clippers,4.0,SG,31.0,1.93,86.16780045351473,Duke,7085000.0
Austin Rivers,Los Angeles Clippers,25.0,PG,23.0,1.93,90.70294784580499,Duke,3110796.0
C.J. Wilcox,Los Angeles Clippers,30.0,SG,25.0,1.956,88.43537414965986,Washington,1159680.0
Brandon Bass,Los Angeles Lakers,2.0,PF,31.0,2.032,113.37868480725623,LSU,3000000.0
Tarik Black,Los Angeles Lakers,28.0,C,24.0,2.057,113.37868480725623,Kansas,845059.0
Anthony Brown,Los Angeles Lakers,3.0,SF,23.0,2.007,95.23809523809524,Stanford,700000.0
Jordan Clarkson,Los Angeles Lakers,6.0,PG,24.0,1.956,87.98185941043084,Missouri,845059.0
Roy Hibbert,Los Angeles Lakers,17.0,C,29.0,2.184,122.44897959183673,Georgetown,15592217.0
Ryan Kelly,Los Angeles Lakers,4.0,PF,25.0,2.108,104.30839002267574,Duke,1724250.0
Larry Nance Jr.,Los Angeles Lakers,7.0,PF,23.0,2.057,104.30839002267574,Wyoming,1155600.0
Julius Randle,Los Angeles Lakers,30.0,PF,21.0,2.057,113.37868480725623,Kentucky,3132240.0
D'Angelo Russell,Los Angeles Lakers,1.0,PG,20.0,1.956,88.43537414965986,Ohio State,5103120.0
Robert Sacre,Los Angeles Lakers,50.0,C,27.0,2.133,122.44897959183673,Gonzaga,981348.0
Metta World Peace,Los Angeles Lakers,37.0,SF,36.0,2.007,117.91383219954648,St. John's,947276.0
Nick Young,Los Angeles Lakers,0.0,SF,31.0,2.007,95.23809523809524,USC,5219169.0
Eric Bledsoe,Phoenix Suns,2.0,PG,26.0,1.854,86.16780045351473,Kentucky,13500000.0
Devin Booker,Phoenix Suns,1.0,SG,19.0,1.981,93.42403628117914,Kentucky,2127840.0
Chase Budinger,Phoenix Suns,10.0,SF,28.0,2.007,94.7845804988662,Arizona,206192.0
Archie Goodwin,Phoenix Suns,20.0,SG,21.0,1.956,90.70294784580499,Kentucky,1160160.0
John Jenkins,Phoenix Suns,23.0,SG,25.0,1.93,97.50566893424036,Vanderbilt,981348.0
Brandon Knight,Phoenix Suns,3.0,PG,24.0,1.905,85.71428571428571,Kentucky,13500000.0
Alex Len,Phoenix Suns,21.0,C,22.0,2.159,117.91383219954648,Maryland,3807120.0
Jon Leuer,Phoenix Suns,30.0,PF,27.0,2.083,103.40136054421768,Wisconsin,1035000.0
Phil Pressey,Phoenix Suns,25.0,PG,25.0,1.803,79.36507936507937,Missouri,55722.0
Ronnie Price,Phoenix Suns,14.0,PG,32.0,1.88,86.16780045351473,Utah Valley,947276.0
P.J. Tucker,Phoenix Suns,17.0,SF,31.0,1.981,111.11111111111111,Texas,5500000.0
T.J. Warren,Phoenix Suns,12.0,SF,22.0,2.032,104.30839002267574,North Carolina State,2041080.0
Alan Williams,Phoenix Suns,15.0,C,23.0,2.032,117.91383219954648,UC Santa Barbara,83397.0
Quincy Acy,Sacramento Kings,13.0,SF,25.0,2.007,108.84353741496598,Baylor,981348.0
James Anderson,Sacramento Kings,5.0,SG,27.0,1.981,96.5986394557823,Oklahoma State,1015421.0
Caron Butler,Sacramento Kings,31.0,SF,36.0,2.007,103.40136054421768,Connecticut,1449187.0
Willie Cauley-Stein,Sacramento Kings,0.0,C,22.0,2.133,108.84353741496598,Kentucky,3398280.0
Darren Collison,Sacramento Kings,7.0,PG,28.0,1.829,79.36507936507937,UCLA,5013559.0
DeMarcus Cousins,Sacramento Kings,15.0,C,25.0,2.108,122.44897959183673,Kentucky,15851950.0
Seth Curry,Sacramento Kings,30.0,SG,25.0,1.88,83.90022675736961,Duke,947276.0
Duje Dukan,Sacramento Kings,26.0,PF,24.0,2.057,99.77324263038548,Wisconsin,525093.0
Rudy Gay,Sacramento Kings,8.0,SF,29.0,2.032,104.30839002267574,Connecticut,12403101.0
Kosta Koufos,Sacramento Kings,41.0,C,27.0,2.133,120.18140589569161,Ohio State,7700000.0
Ben McLemore,Sacramento Kings,23.0,SG,23.0,1.956,88.43537414965986,Kansas,3156600.0
Eric Moreland,Sacramento Kings,25.0,PF,24.0,2.083,107.93650793650794,Oregon State,845059.0
Rajon Rondo,Sacramento Kings,9.0,PG,30.0,1.854,84.35374149659863,Kentucky,9500000.0
Cameron Bairstow,Chicago Bulls,41.0,PF,25.0,2.057,113.37868480725623,New Mexico,845059.0
Aaron Brooks,Chicago Bulls,0.0,PG,31.0,1.829,73.01587301587301,Oregon,2250000.0
Jimmy Butler,Chicago Bulls,21.0,SG,26.0,2.007,99.77324263038548,Marquette,16407500.0
Mike Dunleavy,Chicago Bulls,34.0,SG,35.0,2.057,104.30839002267574,Duke,4500000.0
Taj Gibson,Chicago Bulls,22.0,PF,30.0,2.057,102.0408163265306,USC,8500000.0
Justin Holiday,Chicago Bulls,7.0,SG,27.0,1.981,83.90022675736961,Washington,947276.0
Doug McDermott,Chicago Bulls,3.0,SF,24.0,2.032,102.0408163265306,Creighton,2380440.0
E'Twaun Moore,Chicago Bulls,55.0,SG,27.0,1.93,86.62131519274377,Purdue,1015421.0
Joakim Noah,Chicago Bulls,13.0,C,31.0,2.108,105.21541950113378,Florida,13400000.0
Bobby Portis,Chicago Bulls,5.0,PF,21.0,2.108,104.30839002267574,Arkansas,1391160.0
Derrick Rose,Chicago Bulls,1.0,PG,27.0,1.905,86.16780045351473,Memphis,20093064.0
Tony Snell,Chicago Bulls,20.0,SF,24.0,2.007,90.70294784580499,New Mexico,1535880.0
Matthew Dellavedova,Cleveland Cavaliers,8.0,PG,25.0,1.93,89.79591836734694,Saint Mary's,1147276.0
Channing Frye,Cleveland Cavaliers,9.0,PF,33.0,2.108,115.64625850340136,Arizona,8193029.0
Kyrie Irving,Cleveland Cavaliers,2.0,PG,24.0,1.905,87.52834467120181,Duke,16407501.0
Richard Jefferson,Cleveland Cavaliers,24.0,SF,35.0,2.007,105.6689342403628,Arizona,947276.0
James Jones,Cleveland Cavaliers,1.0,SG,35.0,2.032,98.86621315192744,Miami (FL),947276.0
Sasha Kaun,Cleveland Cavaliers,14.0,C,31.0,2.108,117.91383219954648,Kansas,1276000.0
Kevin Love,Cleveland Cavaliers,0.0,PF,27.0,2.083,113.83219954648526,UCLA,19689000.0
Jordan McRae,Cleveland Cavaliers,12.0,SG,25.0,1.956,81.17913832199547,Tennessee,111196.0
Iman Shumpert,Cleveland Cavaliers,4.0,SG,25.0,1.956,99.77324263038548,Georgia Tech,8988765.0
Tristan Thompson,Cleveland Cavaliers,13.0,C,25.0,2.057,107.93650793650794,Texas,14260870.0
Mo Williams,Cleveland Cavaliers,52.0,PG,33.0,1.854,89.79591836734694,Alabama,2100000.0
Joel Anthony,Detroit Pistons,50.0,C,33.0,2.057,111.11111111111111,UNLV,2500000.0
Aron Baynes,Detroit Pistons,12.0,C,29.0,2.083,117.91383219954648,Washington State,6500000.0
Steve Blake,Detroit Pistons,22.0,PG,36.0,1.905,78.00453514739229,Maryland,2170465.0
Lorenzo Brown,Detroit Pistons,17.0,PG,25.0,1.956,85.71428571428571,North Carolina State,111444.0
Reggie Bullock,Detroit Pistons,25.0,SF,25.0,2.007,92.9705215419501,North Carolina,1252440.0
Kentavious Caldwell-Pope,Detroit Pistons,5.0,SG,23.0,1.956,92.9705215419501,Georgia,2891760.0
Spencer Dinwiddie,Detroit Pistons,8.0,PG,23.0,1.981,90.70294784580499,Colorado,845059.0
Andre Drummond,Detroit Pistons,0.0,C,22.0,2.108,126.53061224489795,Connecticut,3272091.0
Tobias Harris,Detroit Pistons,34.0,SF,23.0,2.057,106.57596371882086,Tennessee,16000000.0
Darrun Hilliard,Detroit Pistons,6.0,SF,23.0,1.981,92.9705215419501,Villanova,600000.0
Reggie Jackson,Detroit Pistons,1.0,PG,26.0,1.905,94.33106575963718,Boston College,13913044.0
Stanley Johnson,Detroit Pistons,3.0,SF,20.0,2.007,111.11111111111111,Arizona,2841960.0
Jodie Meeks,Detroit Pistons,20.0,SG,28.0,1.93,95.23809523809524,Kentucky,6270000.0
Marcus Morris,Detroit Pistons,13.0,PF,26.0,2.057,106.57596371882086,Kansas,5000000.0
Anthony Tolliver,Detroit Pistons,43.0,PF,31.0,2.032,108.84353741496598,Creighton,3000000.0
Lavoy Allen,Indiana Pacers,5.0,PF,27.0,2.057,115.64625850340136,Temple,4050000.0
Rakeem Christmas,Indiana Pacers,25.0,PF,24.0,2.057,113.37868480725623,Syracuse,1007026.0
Paul George,Indiana Pacers,13.0,SF,26.0,2.057,99.77324263038548,Fresno State,17120106.0
George Hill,Indiana Pacers,3.0,PG,30.0,1.905,85.26077097505669,IUPUI,8000000.0
Jordan Hill,Indiana Pacers,27.0,C,28.0,2.083,106.57596371882086,Arizona,4000000.0
Solomon Hill,Indiana Pacers,44.0,SF,25.0,2.007,102.0408163265306,Arizona,1358880.0
Ty Lawson,Indiana Pacers,10.0,PG,28.0,1.803,88.43537414965986,North Carolina,211744.0
Glenn Robinson III,Indiana Pacers,40.0,SG,22.0,2.007,100.68027210884354,Michigan,1100000.0
Rodney Stuckey,Indiana Pacers,2.0,PG,30.0,1.956,92.9705215419501,Eastern Washington,7000000.0
Myles Turner,Indiana Pacers,33.0,PF,20.0,2.108,110.20408163265306,Texas,2357760.0
Shayne Whittington,Indiana Pacers,42.0,PF,25.0,2.108,113.37868480725623,Western Michigan,845059.0
Joe Young,Indiana Pacers,1.0,PG,23.0,1.88,81.63265306122449,Oregon,1007026.0
Jerryd Bayless,Milwaukee Bucks,19.0,PG,27.0,1.905,90.70294784580499,Arizona,3000000.0
Michael Carter-Williams,Milwaukee Bucks,5.0,PG,24.0,1.981,86.16780045351473,Syracuse,2399040.0
Jared Cunningham,Milwaukee Bucks,9.0,SG,25.0,1.93,88.43537414965986,Oregon State,947276.0
Tyler Ennis,Milwaukee Bucks,11.0,PG,21.0,1.905,87.98185941043084,Syracuse,1662360.0
John Henson,Milwaukee Bucks,31.0,PF,25.0,2.108,103.8548752834467,North Carolina,2943221.0
O.J. Mayo,Milwaukee Bucks,3.0,SG,28.0,1.956,95.23809523809524,USC,8000000.0
Khris Middleton,Milwaukee Bucks,22.0,SG,24.0,2.032,106.12244897959184,Texas A&M,14700000.0
Greg Monroe,Milwaukee Bucks,15.0,C,26.0,2.108,120.18140589569161,Georgetown,16407500.0
Steve Novak,Milwaukee Bucks,6.0,SF,32.0,2.083,102.0408163265306,Marquette,295327.0
Johnny O'Bryant III,Milwaukee Bucks,77.0,PF,23.0,2.057,116.55328798185941,LSU,845059.0
Jabari Parker,Milwaukee Bucks,12.0,PF,21.0,2.032,113.37868480725623,Duke,5152440.0
Miles Plumlee,Milwaukee Bucks,18.0,C,27.0,2.108,112.92517006802721,Duke,2109294.0
Greivis Vasquez,Milwaukee Bucks,21.0,PG,29.0,1.981,98.4126984126984,Maryland,6600000.0
Rashad Vaughn,Milwaukee Bucks,20.0,SG,19.0,1.981,91.60997732426304,UNLV,1733040.0
Justin Anderson,Dallas Mavericks,1.0,SG,22.0,1.981,103.40136054421768,Virginia,1449000.0
J.J. Barea,Dallas Mavericks,5.0,PG,31.0,1.829,83.90022675736961,Northeastern,4290000.0
Jeremy Evans,Dallas Mavericks,21.0,SF,28.0,2.057,90.70294784580499,Western Kentucky,1100602.0
Raymond Felton,Dallas Mavericks,2.0,PG,31.0,1.854,92.9705215419501,North Carolina,3950313.0
Devin Harris,Dallas Mavericks,34.0,PG,33.0,1.905,83.90022675736961,Wisconsin,4053446.0
David Lee,Dallas Mavericks,42.0,PF,33.0,2.057,111.11111111111111,Florida,2085671.0
Wesley Matthews,Dallas Mavericks,23.0,SG,29.0,1.956,99.77324263038548,Marquette,16407500.0
JaVale McGee,Dallas Mavericks,11.0,C,28.0,2.133,122.44897959183673,Nevada,1270964.0
Chandler Parsons,Dallas Mavericks,25.0,SF,27.0,2.083,104.30839002267574,Florida,15361500.0
Dwight Powell,Dallas Mavericks,7.0,PF,24.0,2.108,108.84353741496598,Stanford,845059.0
Charlie Villanueva,Dallas Mavericks,3.0,PF,31.0,2.108,105.21541950113378,Connecticut,947276.0
Deron Williams,Dallas Mavericks,8.0,PG,31.0,1.905,90.70294784580499,Illinois,5378974.0
Trevor Ariza,Houston Rockets,1.0,SF,30.0,2.032,97.50566893424036,UCLA,8193030.0
Michael Beasley,Houston Rockets,8.0,SF,27.0,2.083,106.57596371882086,Kansas State,306527.0
Patrick Beverley,Houston Rockets,2.0,PG,27.0,1.854,83.90022675736961,Arkansas,6486486.0
Corey Brewer,Houston Rockets,33.0,SG,30.0,2.057,84.35374149659863,Florida,8229375.0
Sam Dekker,Houston Rockets,7.0,SF,22.0,2.057,104.30839002267574,Wisconsin,1646400.0
Andrew Goudelock,Houston Rockets,0.0,PG,27.0,1.905,90.70294784580499,Charleston,200600.0
James Harden,Houston Rockets,13.0,SG,26.0,1.956,99.77324263038548,Arizona State,15756438.0
Montrezl Harrell,Houston Rockets,35.0,PF,22.0,2.032,108.84353741496598,Louisville,1000000.0
Terrence Jones,Houston Rockets,6.0,PF,24.0,2.057,114.28571428571428,Kentucky,2489530.0
K.J. McDaniels,Houston Rockets,32.0,SG,23.0,1.981,92.9705215419501,Clemson,3189794.0
Jason Terry,Houston Rockets,31.0,SG,38.0,1.88,83.90022675736961,Arizona,947276.0
Jordan Adams,Memphis Grizzlies,3.0,SG,21.0,1.956,94.7845804988662,UCLA,1404600.0
Tony Allen,Memphis Grizzlies,9.0,SG,34.0,1.93,96.5986394557823,Oklahoma State,5158539.0
Chris Andersen,Memphis Grizzlies,7.0,PF,37.0,2.083,111.11111111111111,Blinn College,5000000.0
Matt Barnes,Memphis Grizzlies,22.0,SF,36.0,2.007,102.49433106575964,UCLA,3542500.0
Vince Carter,Memphis Grizzlies,15.0,SG,39.0,1.981,99.77324263038548,North Carolina,4088019.0
Mike Conley,Memphis Grizzlies,11.0,PG,28.0,1.854,79.36507936507937,Ohio State,9588426.0
Bryce Cotton,Memphis Grizzlies,8.0,PG,23.0,1.854,74.82993197278911,Providence,700902.0
JaMychal Green,Memphis Grizzlies,0.0,PF,25.0,2.057,102.94784580498866,Alabama,845059.0
P.J. Hairston,Memphis Grizzlies,19.0,SF,23.0,1.981,104.30839002267574,North Carolina,1201440.0
Jarell Martin,Memphis Grizzlies,10.0,PF,22.0,2.083,108.39002267573696,LSU,1230840.0
Zach Randolph,Memphis Grizzlies,50.0,PF,34.0,2.057,117.91383219954648,Michigan State,9638555.0
Lance Stephenson,Memphis Grizzlies,1.0,SF,25.0,1.956,104.30839002267574,Cincinnati,9000000.0
Brandan Wright,Memphis Grizzlies,34.0,PF,28.0,2.083,95.23809523809524,North Carolina,5464000.0
Ryan Anderson,New Orleans Pelicans,33.0,PF,28.0,2.083,108.84353741496598,California,8500000.0
Luke Babbitt,New Orleans Pelicans,8.0,SF,26.0,2.057,102.0408163265306,Nevada,1100602.0
Norris Cole,New Orleans Pelicans,30.0,PG,27.0,1.88,79.36507936507937,Cleveland State,3036927.0
Dante Cunningham,New Orleans Pelicans,44.0,PF,29.0,2.032,104.30839002267574,Villanova,2850000.0
Anthony Davis,New Orleans Pelicans,23.0,PF,23.0,2.083,114.73922902494331,Kentucky,7070730.0
Bryce Dejean-Jones,New Orleans Pelicans,31.0,SG,23.0,1.981,92.06349206349206,Iowa State,169883.0
Toney Douglas,New Orleans Pelicans,16.0,PG,30.0,1.88,88.43537414965986,Florida State,1164858.0
James Ennis,New Orleans Pelicans,4.0,SF,25.0,2.007,95.23809523809524,Long Beach State,845059.0
Tyreke Evans,New Orleans Pelicans,1.0,SG,26.0,1.981,99.77324263038548,Memphis,10734586.0
Tim Frazier,New Orleans Pelicans,2.0,PG,25.0,1.854,77.09750566893423,Penn State,845059.0
Alonzo Gee,New Orleans Pelicans,15.0,SF,29.0,1.981,102.0408163265306,Alabama,1320000.0
Eric Gordon,New Orleans Pelicans,10.0,SG,27.0,1.93,97.50566893424036,Indiana,15514031.0
Jordan Hamilton,New Orleans Pelicans,25.0,SG,25.0,2.007,99.77324263038548,Texas,1015421.0
Jrue Holiday,New Orleans Pelicans,11.0,PG,25.0,1.93,92.9705215419501,UCLA,10595507.0
Orlando Johnson,New Orleans Pelicans,0.0,SG,27.0,1.956,99.77324263038548,UC Santa Barbara,55722.0
Quincy Pondexter,New Orleans Pelicans,20.0,SF,28.0,2.007,99.77324263038548,Washington,3382023.0
LaMarcus Aldridge,San Antonio Spurs,12.0,PF,30.0,2.108,108.84353741496598,Texas,19689000.0
Kyle Anderson,San Antonio Spurs,1.0,SF,22.0,2.057,104.30839002267574,UCLA,1142880.0
Matt Bonner,San Antonio Spurs,15.0,C,36.0,2.083,106.57596371882086,Florida,947276.0
Tim Duncan,San Antonio Spurs,21.0,C,40.0,2.108,113.37868480725623,Wake Forest,5250000.0
Danny Green,San Antonio Spurs,14.0,SG,28.0,1.981,97.50566893424036,North Carolina,10000000.0
Kawhi Leonard,San Antonio Spurs,2.0,SF,24.0,2.007,104.30839002267574,San Diego State,16407500.0
Kevin Martin,San Antonio Spurs,23.0,SG,33.0,2.007,90.24943310657596,Western Carolina,200600.0
Andre Miller,San Antonio Spurs,24.0,PG,40.0,1.905,90.70294784580499,Utah,250750.0
Patty Mills,San Antonio Spurs,8.0,PG,27.0,1.829,83.90022675736961,Saint Mary's,3578947.0
Jonathon Simmons,San Antonio Spurs,17.0,SG,26.0,1.981,88.43537414965986,Houston,525093.0
David West,San Antonio Spurs,30.0,PF,35.0,2.057,113.37868480725623,Xavier,1499187.0
Kent Bazemore,Atlanta Hawks,24.0,SF,26.0,1.956,91.156462585034,Old Dominion,2000000.0
Tim Hardaway Jr.,Atlanta Hawks,10.0,SG,24.0,1.981,92.9705215419501,Michigan,1304520.0
Kirk Hinrich,Atlanta Hawks,12.0,SG,35.0,1.93,86.16780045351473,Kansas,2854940.0
Al Horford,Atlanta Hawks,15.0,C,30.0,2.083,111.11111111111111,Florida,12000000.0
Kris Humphries,Atlanta Hawks,43.0,PF,31.0,2.057,106.57596371882086,Minnesota,1000000.0
Kyle Korver,Atlanta Hawks,26.0,SG,35.0,2.007,96.14512471655328,Creighton,5746479.0
Paul Millsap,Atlanta Hawks,4.0,PF,31.0,2.032,111.56462585034014,Louisiana Tech,18671659.0
Mike Muscala,Atlanta Hawks,31.0,PF,24.0,2.108,108.84353741496598,Bucknell,947276.0
Lamar Patterson,Atlanta Hawks,13.0,SG,24.0,1.956,102.0408163265306,Pittsburgh,525093.0
Mike Scott,Atlanta Hawks,32.0,PF,27.0,2.032,107.4829931972789,Virginia,3333333.0
Jeff Teague,Atlanta Hawks,0.0,PG,27.0,1.88,84.35374149659863,Wake Forest,8000000.0
Troy Daniels,Charlotte Hornets,30.0,SG,24.0,1.93,92.9705215419501,Virginia Commonwealth,947276.0
Jorge Gutierrez,Charlotte Hornets,12.0,PG,27.0,1.905,85.71428571428571,California,189455.0
Tyler Hansbrough,Charlotte Hornets,50.0,PF,30.0,2.057,113.37868480725623,North Carolina,947276.0
Aaron Harrison,Charlotte Hornets,9.0,SG,21.0,1.981,95.23809523809524,Kentucky,525093.0
